Thiruvalla, Kerala, India	9.383452	76.574059
Ranebennur, Karnataka, India	14.623801	75.621788
Karaikal, Puducherry, India	10.92544	79.838005
Belgaum, Karnataka, India	15.852792	74.498703
Chatrapur, Odisha, India	19.354979	84.986732
Suri, West Bengal, India	23.905445	87.52462
Bhubaneswar, Odisha, India	20.296059	85.824539
Mahuva, Gujarat, India	21.105001	71.771645
Jagadhri, Haryana, India	30.172716	77.299492
Barh, Bihar, India	25.477585	85.709091
Bhusawal, Maharashtra, India	21.045521	75.801094
Alipurduar, West Bengal, India	26.49189	89.5271
Kollam, Kerala, India	8.893212	76.614143
Medinipur, West Bengal, India	22.430889	87.321487
Patan, Gujarat, India	23.849325	72.126625
Mettur, Tamil Nadu, India	11.786253	77.800781
Huliyar, Karnataka, India	13.583274	76.540154
Harihar, Karnataka, India	14.530457	75.801094
Rasayani, Maharashtra, India	18.901457	73.176132
Haringhata, West Bengal, India	22.96051	88.567406
Kushtagi, Karnataka, India	15.756595	76.192696
Jadugora, Jharkhand, India	22.656015	86.352882
Orai, Uttar Pradesh, India	25.989836	79.450035
Surajpur, Chhattisgarh, India	23.223047	82.87056
Ambernath, Maharashtra, India	19.186354	73.191948
Malerkotla, Punjab, India	30.525005	75.890121
Jorapokhar, Jharkhand, India	22.422455	85.760651
Vizianagaram, Andhra Pradesh, India	18.106659	83.395554
Durg, Chhattisgarh, India	21.190449	81.28492
Himmatnagar, Gujarat, India	23.597969	72.969818
Sambhal, Uttar Pradesh, India	28.590361	78.571762
Harnaut, Bihar, India	25.369179	85.53006
Port Blair, Andaman and Nicobar Islands, India	11.623377	92.726486
Suti, West Bengal, India	24.618393	88.024338
Banswara, Rajasthan, India	23.546757	74.43383
Manikchak, West Bengal, India	25.077787	87.900375
Eskişehir, Eskişehir Province, Turkey	39.766193	30.526714
Roorkee, Uttarakhand, India	29.854263	77.888
Kavali, Andhra Pradesh, India	14.913181	79.992981
Dharmavaram, Andhra Pradesh, India	14.413745	77.712616
Siddipet, Telangana, India	18.101904	78.852074
Dhanpuri, Madhya Pradesh, India	23.173939	81.565125
Chirala, Andhra Pradesh, India	15.812074	80.355377
Markapur, Andhra Pradesh, India	15.764501	79.259491
